epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,6960.76,0.46828,0.27704,0.92244,0.96811,0.96134,0.97102,0.83993,0.48406,0.2677,0.9111,0.000555822,0.000555822,0.000555822
171,6996.29,0.45672,0.27386,0.91833,0.94669,0.97616,0.97054,0.84323,0.48812,0.2648,0.90914,0.000549247,0.000549247,0.000549247
172,7031.15,0.46754,0.28085,0.92828,0.95585,0.96478,0.96943,0.8407,0.48608,0.27629,0.9068,0.000542672,0.000542672,0.000542672
173,7066.65,0.45685,0.26791,0.9182,0.94718,0.97137,0.97026,0.84383,0.48207,0.27157,0.9118,0.000536097,0.000536097,0.000536097
174,7102.77,0.45572,0.2743,0.92213,0.95119,0.96919,0.96767,0.83939,0.49367,0.27192,0.91609,0.000529522,0.000529522,0.000529522
175,7138.82,0.46614,0.27413,0.92671,0.94598,0.97498,0.96038,0.83846,0.48926,0.27501,0.90779,0.000522947,0.000522947,0.000522947
176,7174.85,0.4686,0.28001,0.92338,0.96106,0.96339,0.96603,0.8387,0.48945,0.27458,0.90505,0.000516372,0.000516372,0.000516372
177,7210.93,0.46195,0.27263,0.9165,0.95549,0.96273,0.9667,0.84122,0.48127,0.2666,0.90239,0.000509796,0.000509796,0.000509796
178,7247.01,0.44625,0.26974,0.91589,0.94965,0.97233,0.96989,0.84255,0.48546,0.26655,0.90919,0.000503221,0.000503221,0.000503221
179,7283.19,0.46943,0.27788,0.92576,0.96265,0.96643,0.965,0.84638,0.47886,0.2661,0.91224,0.000496646,0.000496646,0.000496646
